ad_number	applicability
2026-04-07	This AD applies to Airbus Helicopters EC120B helicopters, certificated in any category.
2026-03-09	This AD applies to Aerospace & Defense Oxygen Systems SaS (part of Safran Aerosystems) (formerly known as Air Liquide) portable breathing equipment (PBE), part number (P/N) 15-40F-11 and P/N 15- 40F-80, having a manufacturing date between March 2015 and March 2017 (inclusive), and having a serial nu
2025-25-07	This AD applies to the following General Electric Company (GE) Model engines: (1) GE90-90B and GE90-94B engines with a high pressure turbine (HPT) stage 1 disk having a part number and serial number identified in table 1 to paragraph (c) of this AD installed; and (2) GE90-110B1 and GE90-115B engines
2025-26-06	This AD applies to Aerospace & Defense Oxygen Systems SaS (part of Safran Aerosystems) (formerly known as Air Liquide) portable breathing equipment (PBE), part number (P/N) 15-40F-11 and P/N 15- 40F-80, all serial numbers. These PBEs are eligible for installation on any aircraft and may have been in
2025-21-03	This AD applies to CFM International, S.A. Model (CFM) LEAP- 1A23, LEAP-1A24, LEAP-1A24E1, LEAP-1A26, LEAP-1A26CJ, LEAP-1A26E1, LEAP-1A29, LEAP-1A29CJ, LEAP-1A30, LEAP-1A32, LEAP-1A33, LEAP- 1A33B2, and LEAP-1A35A engines with an installed high-pressure turbine (HPT) rotor stage 1 blade, having part
2025-23-04	This AD applies to the ATR--GIE Avions de Transport Régional airplanes identified in paragraphs (c)(1) and (2) of this AD, certificated in any category, as identified in European Union Aviation Safety Agency (EASA) AD 2025-0080, dated April 11, 2025; corrected April 23, 2025 (EASA AD 2025-0080). (1)
2025-25-02	This AD applies to Aerospace & Defense Oxygen Systems SaS (part of Safran Aerosystems) (formerly known as Air Liquide) portable breathing equipment (PBE), part number (P/N) 15-40F-11 and P/N 15- 40F-80, all serial numbers. These PBEs are eligible for installation on any aircraft and may have been in
2025-21-01	(1) This AD applies to all hot air balloons, certificated in any category, with a fuel cylinder installed that is fitted with Cameron Balloons Ltd. pressure relief valve (PRV) adaptor part number (P/N) CB8426. Note 1 to paragraph (c)(1): Cameron Balloons Alert Service Bulletin No. 36, Revision 2, da
2025-20-01	This AD applies to the ATR--GIE Avions de Transport Régional airplanes identified in paragraphs (c)(1) and (2) of this AD, certificated in any category, as identified in European Union Aviation Safety Agency (EASA) AD 2025-0004, dated January 7, 2025 (EASA AD 2025-0004). (1) ATR42-500 airplanes. (2)
2025-16-09	This AD applies to all airplanes, certificated in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture (DOM) between January 2012 and April 2013 in
2025-12-03	This AD applies to CFM International, S.A. Model (CFM) LEAP- 1A23, LEAP-1A24, LEAP-1A24E1, LEAP-1A26, LEAP-1A26CJ, LEAP-1A26E1, LEAP-1A29, LEAP-1A29CJ, LEAP-1A30, LEAP-1A32, LEAP-1A33, LEAP- 1A33B2, and LEAP-1A35A engines.
2025-12-08	This AD applies to the following General Electric Company (GE) Model engines: (1) CF34-8C1, CF34-8C5, CF34-8C5A1, CF34-8C5A2, CF34-8C5A3, and CF34-8C5B1 engines with an installed combustion chamber assembly (CCA) having part number (P/N) 4145T11G08, 4145T11G10, 4180T27G02, 4180T27G04, or 4923T82G02;
2025-11-10	(1) This AD applies to all hot air balloons, certificated in any category, with a fuel cylinder installed that is fitted with Cameron Balloons Ltd. pressure relief valve (PRV) adaptor part number CB8426. Note 1 to paragraph (c)(1): Cameron Balloons Alert Service Bulletin No. 36, Revision 1, dated Ap
2025-07-01	(1) This AD applies to Thommen Aircraft Equipment AG (THOMMEN) AC32 Digital Air Data Computers (ADCs) having an affected part as defined in paragraph (f)(1) of this AD. (2) This appliance is installed on, but not limited to, the following aircraft models specified in table 1 to paragraph (c)(2) of t
2025-07-01	(1) This AD applies to THOMMEN AIRCRAFT EQUIPMENT AG (THOMMEN) AC32 Digital Air Data Computers (ADCs) having an affected part as defined in paragraph (f)(1) of this AD. (2) This appliance is installed on, but not limited to, the following aircraft models specified in table 1 to paragraph (c)(2) of t
2025-04-12	This AD applies to the following CFM International, S.A. (CFM) Model engines: (1) LEAP-1A23, LEAP-1A24, LEAP-1A24E1, LEAP-1A26, LEAP-1A26CJ, LEAP-1A26E1, LEAP-1A29, LEAP-1A29CJ, LEAP-1A30, LEAP-1A32, LEAP- 1A33, LEAP-1A33B2, LEAP-1A35A; (2) LEAP-1B21, LEAP-1B23, LEAP-1B25, LEAP-1B27, LEAP-1B28, LEAP
2025-02-11	This AD applies to all airplane models specified in table 1 to paragraph (c) of this AD, certificated in any category, that are not equipped with a rudder having a rudder post made from 4130N low- alloy steel.  Note 1 to paragraph (c): Most parts manufacturer approval (PMA) rudders are equipped with
2025-02-04	This AD applies to Airbus SAS Model airplanes identified in paragraphs (c)(1) through (4) of this AD, certificated in any category, with an original airworthiness certificate or original export certificate of airworthiness issued on or before November 6, 2023. (1) A318-111, -112, -121, and -122 airp
2025-01-01	This AD applies to Britten-Norman Aerospace Ltd. airplanes, certificated in any category, fitted with Fairey Hydraulics Ltd or Britten-Norman Aircraft landing gear and associated landing gear components, identified in paragraphs (c)(1) and (2) of this AD. (1) Model BN-2, BN-2A, BN-2A-2, BN-2A-3, BN-
2025-01-01	This AD applies to Britten-Norman Aerospace Ltd. airplanes, certificated in any category, fitted with Fairey Hydraulics Ltd or Britten-Norman Aircraft landing gear and associated landing gear components, identified in paragraphs (c)(1) and (2) of this AD. (1) Model BN-2, BN-2A, BN-2A-2, BN-2A-3, BN-
2024-26-02	(1) This AD applies to all airplanes and helicopters, certificated in any category, with a restraint system with a Pacific Scientific Company plastic rotary buckle assembly (buckle) part number (P/N) 1111430 or P/N 1111475 (all dash numbers) installed having a date of manufacture on or before May 31
